Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
220008,2022,01/30/2023,Andover,618 ROUTE 6,139020,232000,0.5992,Residential,Single Family
2020348,2020,09/13/2021,Ansonia,230 WAKELEE AVE,150500,325000,0.463,Commercial,
20002,2020,10-02-2020,Ashford,390 TURNPIKE RD,253000,430000,0.5883,Residential,Single Family
210317,2021,07-05-2022,Avon,53 COTSWOLD WAY,329730,805000,0.4096,Residential,Single Family
200212,2020,03-09-2021,Avon,5 CHESTNUT DRIVE,130400,179900,0.7248,Residential,Condo
200243,2020,04/13/2021,Avon,111 NORTHINGTON DRIVE,619290,890000,0.6958,Residential,Single Family
200377,2020,07-02-2021,Avon,70 FAR HILLS DRIVE,862330,1447500,0.5957,Residential,Single Family
22043,2022,03/15/2023,Beacon Falls,41 EDGEWOOD DRIVE,164170,285000,0.576,Residential,Single Family
200109,2020,12-09-2020,Avon,57 FAR HILLS DRIVE,847520,1250000,0.678,Residential,Single Family
2020180,2020,03-01-2021,Berlin,1539 FARMINGTON AVE,234200,130000,1.8015,Residential,Two Family
2020313,2020,07-01-2021,Berlin,216 WATCH HILL RD,412000,677500,0.6081,Residential,Single Family
220440,2022,02/16/2023,Branford,69 MONTOYA,84300,195000,0.4323,Residential,Condo
200097,2020,06-04-2021,Bethany,23 AMITY RD,511000,795000,0.6427,Commercial,
210045,2021,04/29/2022,Bethlehem,89 LONG MEADOW RD,229900,561850,0.4091,Residential,Single Family
210101,2021,12/20/2021,Bloomfield,43 LEDYARD AVE,111580,209000,0.5338,Residential,Single Family
20139,2020,12/16/2020,Bethel,16 DEEPWOOD DRIVE,171360,335000,0.5115,Residential,Single Family
200086,2020,08-10-2021,Bethlehem,39 WOODLAND RD,168900,352000,0.4798,Residential,Single Family
2000381,2020,09/13/2021,Bloomfield,9 SADDLE RIDGE,163730,250000,0.6549,Residential,Condo
200258,2020,01/22/2021,Branford,34 SUNRISE COVE CAMP,530500,700000,0.7578,Residential,Single Family
210035,2021,10/20/2021,Branford,25 QUARRY DOCK RD,208100,448000,0.4645,Residential,Condo
210748,2021,01/14/2022,Bridgeport,360 VINCELLETTE ST,160776,315000,0.5104,Residential,Single Family
200804,2020,09/28/2021,Branford,119 MONTOWESE ST,455100,650000,0.7001,Commercial,
201295,2020,09-09-2021,Bristol,609 CAMP ST,144340,249900,0.5775,Residential,Single Family
200032,2020,10-08-2020,Bristol,9 LESLIE COURT,94920,155000,0.6123,Residential,Single Family
211762,2021,06/21/2022,Bridgeport,38 RIVERVIEW DR,86990,247000,0.3521,Residential,Condo
200354,2020,12/29/2020,Bristol,391 TIFFANY LA,173740,299000,0.581,Residential,Single Family
200527,2020,03-01-2021,Bristol,25 WARD ST,85680,183000,0.4681,Residential,Two Family
211997,2021,08-02-2022,Bridgeport,1963 MAIN ST,257910,500000,0.5158,Commercial,
22000107,2022,12/22/2022,Cheshire,30 CURRIER PL,129150,265000,0.4873,Residential,Condo
201212,2020,08/23/2021,Bristol,8 JENNINGS TERR,88060,91000,0.9676,Residential,Single Family
20000050,2020,11-05-2020,Brookfield,4 CHELSEA CT,105110,160000,0.6569375,Residential,Condo
20000179,2020,02/22/2021,Brookfield,72 HOMESTEAD LN,94770,170000,0.5574,Residential,Condo
210530,2021,02-09-2022,Bristol,68 JUDSON AVENUE,76580,190000,0.403,Residential,Single Family
200042,2020,05/19/2021,Canaan,93 MAIN ST,355800,599000,0.5939,Residential,Two Family
200117,2020,04-12-2021,Canton,52 COUNTRY LANE,160850,280000,0.5744,Residential,Single Family
220029,2022,04/20/2023,Cornwall,DAY RD,153100,190000,0.8057,Vacant Land,
2000230,2020,03/16/2021,Cheshire,50 ABBEY CT,210940,365000,0.5779,Residential,Single Family
220054,2022,12/13/2022,Coventry,166 CEDAR SWAMP RD,114500,255000,0.449,Residential,Single Family
2000330,2020,05/20/2021,Cheshire,844 HIGHLAND AVE,144220,204000,0.7069,Residential,Single Family
